RA,Lupus,PMRTA,OA,O
11.091,2.961,-3.669,11.146,2.937
24.414,0.293,-7.816,-0.838,15.968
10.025,8.394,4.563,4.082,5.349
-3.156,2.832,-0.093,6.645,1.719
6.835,-1.369,-0.185,4.329,6.445
3.321,11.288,1.302,1.234,20.243
1.493,3.997,5.299,-2.817,3.29
7.412,7.26,10.734,3.544,8.992
5.559,5.546,1.399,4.16,6.12
4.761,,0.497,1.16,25.655
-3.527,,0.592,-0.247,
4.839,,3.95,5.372,
1.85,,0.674,6.721,
-3.933,,9.354,9.95,
-1.864,,2.61,10.82,
5.386,,5.682,7.28,
3.868,,,6.605,
6.209,,,7.507,
-5.64,,,5.075,
3.514,,,0.163,
-2.308,,,12.767,
15.981,,,3.481,
-9.646,,,0.917,
5.188,,,15.853,
-1.892,,,,
16.553,,,,
9.669,,,,
4.659,,,,
1.137,,,,
7.521,,,,
0.073,,,,
-8.684,,,,
-0.372,,,,
21.311,,,,
10.831,,,,
3.351,,,,
9.557,,,,
